Year,Année,ISO,Jurisdiction,Juridiction,Tenure (En),Tenure (Fr),Application Method,"Méthode d'application",Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1982,1982,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,9,a,9,a
1982,1982,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,230,a,230,a
1982,1982,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,55,a,55,a
1982,1982,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,29991,a,29991,a
1982,1982,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,14506,a,14506,a
1983,1983,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,9437,a,9437,a
1983,1983,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,1332,a,1332,a
1983,1983,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,315,a,315,a
1983,1983,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,697,a,697,a
1983,1983,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,21246,a,21246,a
1983,1983,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,13833,a,13833,a
1984,1984,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,6670,a,6670,a
1984,1984,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,627,a,627,a
1984,1984,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,284,a,284,a
1984,1984,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,195,r,195,r
1984,1984,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,16229,a,16229,a
1984,1984,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,8815,a,8815,a
1985,1985,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,7490,a,7490,a
1985,1985,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,754,a,754,a
1985,1985,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,18894,a,18894,a
1985,1985,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,1212,a,1212,a
1986,1986,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,5829,a,5829,a
1986,1986,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,2618,a,2618,a
1986,1986,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,20925,r,20925,r
1986,1986,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,189,a,189,a
1987,1987,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,8686,a,8686,a
1987,1987,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,4485,a,4485,a
1987,1987,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,27,a,27,a
1987,1987,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,810,a,810,a
1987,1987,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,26310,a,26310,a
1987,1987,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,137,a,137,a
1988,1988,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,13136,a,13136,a
1988,1988,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,5473,a,5473,a
1988,1988,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,35,a,35,a
1988,1988,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,27539,a,27539,a
1988,1988,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,39,a,39,a
1989,1989,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,9922,a,9922,a
1989,1989,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,3693,a,3693,a
1989,1989,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,1579,a,1579,a
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,1305,a,1305,a
1989,1989,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,32969,a,32969,a
1989,1989,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,90,a,90,a
1989,1989,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,102,a,102,a
1990,1990,AB,Alberta,Alberta,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,AB,Alberta,Alberta,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,AB,Alberta,Alberta,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,8229,a,8229,a
1990,1990,AB,Alberta,Alberta,Private land,Terres privées,Aerial,Aérien,,u,,u
1990,1990,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,4703,a,4703,a
1990,1990,AB,Alberta,Alberta,Private land,Terres privées,Ground,Sol,,u,,u
1990,1990,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,AB,Alberta,Alberta,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aérien,21,r,21,r
1990,1990,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Aerial,Aérien,0,r,0,r
1990,1990,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,81,r,81,r
1990,1990,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Ground,Sol,0,r,0,r
1990,1990,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indéterminée,0,r,0,r
1990,1990,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Unspecified,Indéterminée,0,r,0,r
1990,1990,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,5,a,5,a
1990,1990,MB,Manitoba,Manitoba,Private land,Terres privées,Ground,Sol,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,MB,Manitoba,Manitoba,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Ground,Sol,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Ground,Sol,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Ground,Sol,,n,,n
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Aerial,Aérien,,n,,n
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Aerial,Aérien,,n,,n
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Ground,Sol,,n,,n
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Ground,Sol,,n,,n
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Ground,Sol,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Aerial,Aérien,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Ground,Sol,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Ground,Sol,,u,,u
