Year,Année,ISO,Jurisdiction,Juridiction,Tenure (En),Tenure (Fr),Application Method,"Méthode d'application",Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Ground,Sol,0,a,0,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Ground,Sol,,n,,n
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Aerial,Aérien,,n,,n
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Aerial,Aérien,,n,,n
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Ground,Sol,,n,,n
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Ground,Sol,,n,,n
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Ground,Sol,,n,,n
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Aerial,Aérien,,u,,u
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Ground,Sol,,u,,u
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1995,1995,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Ground,Sol,,u,,u
1995,1995,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,ON,Ontario,Ontario,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1995,1995,ON,Ontario,Ontario,Federal land,Terres fédérales,Ground,Sol,,u,,u
1995,1995,ON,Ontario,Ontario,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,ON,Ontario,Ontario,Provincial land,Terres provinciales,Aerial,Aérien,,u,,u
1995,1995,ON,Ontario,Ontario,Private land,Terres privées,Aerial,Aérien,,u,,u
1995,1995,ON,Ontario,Ontario,Provincial land,Terres provinciales,Ground,Sol,,u,,u
1995,1995,ON,Ontario,Ontario,Private land,Terres privées,Ground,Sol,,u,,u
1995,1995,ON,Ontario,Ontario,Provincial land,Terres provinciales,Unspecified,Indéterminée,21568,a,21568,a
1995,1995,ON,Ontario,Ontario,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Ground,Sol,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,QC,Quebec,Québec,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1995,1995,QC,Quebec,Québec,Federal land,Terres fédérales,Ground,Sol,,u,,u
1995,1995,QC,Quebec,Québec,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,QC,Quebec,Québec,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1995,1995,QC,Quebec,Québec,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1995,1995,QC,Quebec,Québec,Provincial land,Terres provinciales,Ground,Sol,925,a,925,a
1995,1995,QC,Quebec,Québec,Private land,Terres privées,Ground,Sol,0,a,0,a
1995,1995,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,QC,Quebec,Québec,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1995,1995,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Ground,Sol,,u,,u
1995,1995,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1995,1995,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1995,1995,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1995,1995,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Ground,Sol,0,a,0,a
1995,1995,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1995,1995,YT,Yukon,Yukon,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1995,1995,YT,Yukon,Yukon,Federal land,Terres fédérales,Ground,Sol,,n,,n
1995,1995,YT,Yukon,Yukon,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1995,1995,YT,Yukon,Yukon,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1995,1995,YT,Yukon,Yukon,Private land,Terres privées,Aerial,Aérien,,u,,u
1995,1995,YT,Yukon,Yukon,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1995,1995,YT,Yukon,Yukon,Private land,Terres privées,Ground,Sol,,u,,u
1995,1995,YT,Yukon,Yukon,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1995,1995,YT,Yukon,Yukon,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,AB,Alberta,Alberta,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,AB,Alberta,Alberta,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,AB,Alberta,Alberta,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,489,a,489,a
1996,1996,AB,Alberta,Alberta,Private land,Terres privées,Aerial,Aérien,,u,,u
1996,1996,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,1235,a,1235,a
1996,1996,AB,Alberta,Alberta,Private land,Terres privées,Ground,Sol,,u,,u
1996,1996,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,AB,Alberta,Alberta,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1996,1996,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1996,1996,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aérien,54,r,54,r
1996,1996,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Aerial,Aérien,11,r,11,r
1996,1996,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,105,r,105,r
1996,1996,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Ground,Sol,7,r,7,r
1996,1996,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indéterminée,0,r,0,r
1996,1996,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Unspecified,Indéterminée,0,r,0,r
1996,1996,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1996,1996,MB,Manitoba,Manitoba,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1996,1996,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,1,a,1,a
1996,1996,MB,Manitoba,Manitoba,Private land,Terres privées,Ground,Sol,0,a,0,a
1996,1996,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,MB,Manitoba,Manitoba,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aérien,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Aerial,Aérien,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Ground,Sol,200,a,200,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Ground,Sol,0,a,0,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Ground,Sol,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Aerial,Aérien,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Aerial,Aérien,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Ground,Sol,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Ground,Sol,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Ground,Sol,,n,,n
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Aerial,Aérien,,u,,u
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Ground,Sol,,u,,u
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,ON,Ontario,Ontario,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,ON,Ontario,Ontario,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,ON,Ontario,Ontario,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,ON,Ontario,Ontario,Provincial land,Terres provinciales,Aerial,Aérien,,u,,u
1996,1996,ON,Ontario,Ontario,Private land,Terres privées,Aerial,Aérien,,u,,u
1996,1996,ON,Ontario,Ontario,Provincial land,Terres provinciales,Ground,Sol,,u,,u
1996,1996,ON,Ontario,Ontario,Private land,Terres privées,Ground,Sol,,u,,u
1996,1996,ON,Ontario,Ontario,Provincial land,Terres provinciales,Unspecified,Indéterminée,21946,a,21946,a
1996,1996,ON,Ontario,Ontario,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Ground,Sol,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,QC,Quebec,Québec,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,QC,Quebec,Québec,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,QC,Quebec,Québec,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,QC,Quebec,Québec,Provincial land,Terres provinciales,Aerial,Aérien,8353,a,8353,a
1996,1996,QC,Quebec,Québec,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1996,1996,QC,Quebec,Québec,Provincial land,Terres provinciales,Ground,Sol,420,a,420,a
1996,1996,QC,Quebec,Québec,Private land,Terres privées,Ground,Sol,0,a,0,a
1996,1996,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,QC,Quebec,Québec,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1996,1996,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Ground,Sol,,u,,u
1996,1996,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1996,1996,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1996,1996,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1996,1996,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Ground,Sol,0,a,0,a
1996,1996,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1996,1996,YT,Yukon,Yukon,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1996,1996,YT,Yukon,Yukon,Federal land,Terres fédérales,Ground,Sol,,n,,n
1996,1996,YT,Yukon,Yukon,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1996,1996,YT,Yukon,Yukon,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1996,1996,YT,Yukon,Yukon,Private land,Terres privées,Aerial,Aérien,,u,,u
1996,1996,YT,Yukon,Yukon,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1996,1996,YT,Yukon,Yukon,Private land,Terres privées,Ground,Sol,,u,,u
1996,1996,YT,Yukon,Yukon,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1996,1996,YT,Yukon,Yukon,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,AB,Alberta,Alberta,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1997,1997,AB,Alberta,Alberta,Federal land,Terres fédérales,Ground,Sol,,u,,u
1997,1997,AB,Alberta,Alberta,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,531,a,531,a
1997,1997,AB,Alberta,Alberta,Private land,Terres privées,Aerial,Aérien,,u,,u
1997,1997,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,829,a,829,a
1997,1997,AB,Alberta,Alberta,Private land,Terres privées,Ground,Sol,,u,,u
1997,1997,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1997,1997,AB,Alberta,Alberta,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1997,1997,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1997,1997,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aérien,700,r,700,r
1997,1997,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Aerial,Aérien,0,r,0,r
1997,1997,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,133,r,133,r
1997,1997,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Ground,Sol,24,r,24,r
1997,1997,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indéterminée,0,r,0,r
1997,1997,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Unspecified,Indéterminée,0,r,0,r
1997,1997,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1997,1997,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Ground,Sol,,u,,u
1997,1997,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1997,1997,MB,Manitoba,Manitoba,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1997,1997,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,6,a,6,a
1997,1997,MB,Manitoba,Manitoba,Private land,Terres privées,Ground,Sol,0,a,0,a
1997,1997,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1997,1997,MB,Manitoba,Manitoba,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Ground,Sol,,u,,u
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Ground,Sol,0,a,0,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Ground,Sol,,u,,u
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Ground,Sol,0,a,0,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Ground,Sol,,n,,n
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Aerial,Aérien,,n,,n
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Aerial,Aérien,,n,,n
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Ground,Sol,,n,,n
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Ground,Sol,,n,,n
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Ground,Sol,,n,,n
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Aerial,Aérien,,u,,u
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Ground,Sol,,u,,u
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1997,1997,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1997,1997,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Ground,Sol,,u,,u
1997,1997,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,ON,Ontario,Ontario,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1997,1997,ON,Ontario,Ontario,Federal land,Terres fédérales,Ground,Sol,,u,,u
1997,1997,ON,Ontario,Ontario,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1997,1997,ON,Ontario,Ontario,Provincial land,Terres provinciales,Aerial,Aérien,,u,,u
1997,1997,ON,Ontario,Ontario,Private land,Terres privées,Aerial,Aérien,,u,,u
